airline_id,name,alias,iata,icao,callsign,country,active
415,Aerojet de Costa Rica,,,ARJ, S.A.,,FALSE
1509,Bellview Airlines,,,BVU, Sierra Leone,,FALSE
1516,BAX Global,,8W,,,,FALSE
2080,Electronic Data Systems,,,1Y,,,FALSE
2636,Gulf African Airlines - Gambia,,,GUF,GULF AFRICAN,,FALSE
2649,Guyana Airways 2000,,GY,,,,FALSE
2804,ICAO,,,YYY,,,FALSE
3562,Multiflight,,,MFT,YORKAIR,,FALSE
4051,Princess Air,,8Q,,,,FALSE
4430,Scorpio Aviation,,8S,,,,FALSE
4679,Sky Trek International Airlines,,1I,,,,FALSE
4854,Sirin,,R1,,,,FALSE
5199,Transports et Travaux A,,OF,,,,FALSE
5556,buzz,,UK,BUZ,,,FALSE
1390,British Gulf International,,,BGI,BRITISH GULF,S,FALSE
2290,Express International Cargo,,,EIC,EXCARGO,S,FALSE
3208,LASTP,,,OTN,LASTP,S,FALSE
3286,Linhas Aereas Santomenses,,,SMS,SANTOMENSES,S,FALSE
3591,Natalco Air Lines,,,NCO,NATALCO,S,FALSE
3207,LAP Colombia - Lineas Aereas Petroleras,,,APT, S.A.,LAP,FALSE
4456,Southern Jersey Airways,,,ALC, Inc.,ACOM,FALSE
1851,Compania Boliviana de Transporte Aereo Privado Aerosur,,,ASU, S.A.,ASUR,FALSE
400,Aeroatlas,,,AQA, S.A.,ATCO,FALSE
513,Aerolineas Uruguayas,,,AUY, S.A.,AUSA,FALSE
433,Air Tchad,,,HTT,HOTEL TANGO,Chad,FALSE
894,Air Affaires Tchad,,,FTC,AFFAIRES TCHAD,Chad,FALSE
1312,Air Horizon,,,TPK,TCHAD-HORIZON,Chad,FALSE
1733,Chari Aviation Services,,S8,CSU,CHARI SERVICE,Chad,FALSE
3262,Lignes Aeriennes Du Tchad,,,LKD,LATCHAD,Chad,FALSE
3577,Nada Air Service,,,NHZ,NADA AIR,Chad,FALSE
4887,Tchad Airlines,,,TCD,TCHADLINES,Chad,FALSE
4942,Toumai Air Tchad,,,THE,TOUMAI AIR,Chad,FALSE
