airportid,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst,tz_database_time,zone,type,source
11743,La Grande-4 Airport,La Grande-4,Canada,YAH,CYAH,53.75469971,-73.6753006,1005,,,,airport,OurAirports,
11744,Alert Bay Airport,Alert Bay,Canada,YAL,CYAL,50.5821991,-126.9160004,240,,,,airport,OurAirports,
11745,Liverpool South Shore Regional Airport,Liverpool,Canada,,CYAU,44.2303009,-64.85610199,321,,,,airport,OurAirports,
11747,Nipawin Airport,Nipawin,Canada,,CYBU,53.33250046,-104.0080032,1220,,,,airport,OurAirports,
11748,Centralia / James T. Field Memorial Aerodrome,Centralia,Canada,YCE,CYCE,43.285599,-81.508301,824,,,,airport,OurAirports,
11749,Blue River Airport,Blue River,Canada,,CYCP,52.11669922,-119.2829971,2240,,,,airport,OurAirports,
11750,Chetwynd Airport,Chetwynd,Canada,YCQ,CYCQ,55.68719864,-121.6269989,2000,,,,airport,OurAirports,
11751,Ross River Airport,Ross River,Canada,XRR,CYDM,61.97060013,-132.4230042,2314,,,,airport,OurAirports,
11752,Dolbeau St Felicien Airport,Dolbeau-St-Félicien,Canada,YDO,CYDO,48.7784996,-72.375,372,,,,airport,OurAirports,
11753,Amos/Magny Airport,Amos,Canada,YEY,CYEY,48.563903,-78.249702,1068,,,,airport,OurAirports,
11754,Goderich Airport,Goderich,Canada,,CYGD,43.76689911,-81.71060181,712,,,,airport,OurAirports,
11755,Hope Airport,Hope,Canada,YHE,CYHE,49.36830139,-121.4980011,128,,,,airport,OurAirports,
11756,Haines Junction Airport,Haines Junction,Canada,YHT,CYHT,60.78919983,-137.5460052,2150,,,,airport,OurAirports,
11757,Digby / Annapolis Regional Airport,Digby,Canada,YDG,CYID,44.54584504,-65.78542471,499,,,,airport,OurAirports,
11758,Fort Liard Airport,Fort Liard,Canada,YJF,CYJF,60.2358017,-123.4690018,708,,,,airport,OurAirports,
11759,Key Lake Airport,Key Lake,Canada,YKJ,CYKJ,57.2560997,-105.6179962,1679,,,,airport,OurAirports,
11760,Leaf Rapids Airport,Leaf Rapids,Canada,YLR,CYLR,56.51330185,-99.98529816,959,,,,airport,OurAirports,
11761,Matane Airport,Matane,Canada,YME,CYME,48.85689926,-67.45330048,102,,,,airport,OurAirports,
11762,Charlevoix Airport,Charlevoix,Canada,YML,CYML,47.59749985,-70.22389984,977,,,,airport,OurAirports,
11763,Nejanilini Lake Airport,Nejanilini Lake,Canada,,CYNN,59.48749924,-97.78029633,1000,,,,airport,OurAirports,
11764,Owen Sound / Billy Bishop Regional Airport,Owen Sound,Canada,YOS,CYOS,44.59030151,-80.83750153,1007,,,,airport,OurAirports,
11765,Port Hawkesbury Airport,Port Hawkesbury,Canada,YPS,CYPD,45.65670013,-61.36809921,377,,,,airport,OurAirports,
11766,St Thomas Municipal Airport,St Thomas,Canada,YQS,CYQS,42.77000046,-81.1108017,778,,,,airport,OurAirports,
11767,Ottawa / Rockcliffe Airport,Ottawa,Canada,YRO,CYRO,45.46030045,-75.64610291,188,,,,airport,OurAirports,
11768,Ottawa / Carp Airport,Ottawa,Canada,,CYRP,45.31919861,-76.02220154,382,,,,airport,OurAirports,
11769,Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,Canada,YSH,CYSH,44.94580078,-75.94059753,416,,,,airport,OurAirports,
11770,St Leonard Airport,St Leonard,Canada,YSL,CYSL,47.15750122,-67.83470154,793,,,,airport,OurAirports,
11771,Virden/R.J. (Bob) Andrew Field Regional Aerodrome,Virden,Canada,,CYVD,49.87829971,-100.9179993,1454,,,,airport,OurAirports,
11772,Vernon Airport,Vernon,Canada,YVE,CYVK,50.24810028,-119.3310013,1140,,,,airport,OurAirports,
11773,Beaver Creek Airport,Beaver Creek,Canada,YXQ,CYXQ,62.41030121,-140.8670044,2131,,,,airport,OurAirports,
11774,Shuswap Regional Airport,Salmon Arm,Canada,YSN,CZAM,50.682802,-119.228996,1751,,,,airport,OurAirports,
11775,Kelsey Airport,Kelsey,Canada,KES,CZEE,56.03749847,-96.50969696,600,,,,airport,OurAirports,
11776,Pukatawagan Airport,Pukatawagan,Canada,XPK,CZFG,55.74919891,-101.2659988,958,,,,airport,OurAirports,
11777,Grand Forks Airport,Grand Forks,Canada,ZGF,CZGF,49.0155983,-118.4309998,1720,,,,airport,OurAirports,
11778,Jenpeg Airport,Jenpeg,Canada,ZJG,CZJG,54.51890182,-98.0460968,729,,,,airport,OurAirports,
11779,Thicket Portage Airport,Thicket Portage,Canada,YTD,CZLQ,55.31890106,-97.70780182,678,,,,airport,OurAirports,
11780,Pikwitonei Airport,Pikwitonei,Canada,PIW,CZMN,55.58890152,-97.16419983,630,,,,airport,OurAirports,
11781,Poplar River Airport,Poplar River,Canada,XPP,CZNG,52.99652588,-97.27419376,728,,,,airport,OurAirports,
11782,Pincher Creek Airport,Pincher Creek,Canada,WPC,CZPC,49.52059937,-113.9970016,3903,,,,airport,OurAirports,
11783,Stewart Airport,Stewart,Canada,ZST,CZST,55.93541045,-129.9824345,24,,,,airport,OurAirports,
11784,Ignace Municipal Airport,Ignace,Canada,ZUC,CZUC,49.42969894,-91.71779633,1435,,,,airport,OurAirports,
11785,Neubrandenburg Airport,Neubrandenburg,Germany,FNB,EDBN,53.6022,13.306,228,,,,airport,OurAirports,
11786,Airport Bamberg-Breitenau,Bamberg,Germany,,EDQA,49.920403,10.914233,811,,,,airport,OurAirports,
11787,Zerbst Airport,Zerbst/Anhalt,Germany,,EDUZ,52.000832,12.148611,289,,,,airport,OurAirports,
11788,RAF Spadeadam,Spadeadam,United Kingdom,,EGOM,55.04999924,-2.549999952,1066,,,,airport,OurAirports,
11789,RAF Kinloss,Kinloss,United Kingdom,FSS,EGQK,57.6493988,-3.560640097,22,,,,airport,OurAirports,
11790,Biała Podlaska Airfield,Biała Podlaska,Poland,BXP,EPBP,52.00078,23.1325278,485,,,,airport,OurAirports,
11791,Cewice Air Base,Lębork,Poland,,EPCE,54.416,17.7633,495,,,,airport,OurAirports,
11792,Deblin Military Air Base,Dęblin,Poland,,EPDE,51.55139923,21.89360046,392,,,,airport,OurAirports,
11793,Leczyca Military Air Base,Leczyca,Poland,,EPLY,52.00469971,19.14559937,377,,,,airport,OurAirports,
11794,Minsk Mazowiecki Military Air Base,,Poland,,EPMM,52.19549942,21.65589905,604,,,,airport,OurAirports,
11795,Powidz Military Air Base,,Poland,,EPPW,52.379398,17.853901,371,,,,airport,OurAirports,
11796,Tomaszow Mazowiecki Military Air Base,Tomaszów Mazowiecki,Poland,,EPTM,51.58440018,20.0977993,571,,,,airport,OurAirports,
11797,Björkvik Air Base,Björkvik,Sweden,,ESKX,58.79079819,16.57119942,0,,,,airport,OurAirports,
11798,Ljungbyhed Airport,Ljungbyhed,Sweden,,ESTL,56.08280182,13.21249962,140,,,,airport,OurAirports,
11799,Daugavpils Intrenational Airport,Daugavpils,Latvia,DGP,EVDA,55.94472122,26.66500092,398,,,,airport,OurAirports,
11800,Jēkabpils Air Base,Jēkabpils,Latvia,,EVKA,56.534698,25.8925,289,,,,airport,OurAirports,
11801,Jūrmala Airport,Tukums,Latvia,,EVTA,56.9422,23.2239,220,,,,airport,OurAirports,
11802,Kėdainiai Air Base,Kėdainiai,Lithuania,,EYKD,55.31169891,23.95639992,171,,,,airport,OurAirports,
11803,Lime Acres Finsch Mine Airport,Lime Acres,South Africa,LMR,FALC,-28.36009979,23.43910027,4900,,,,airport,OurAirports,
11804,Sua Pan Airport,Sowa,Botswana,SXN,FBSN,-20.5534,26.115801,2985,,,,airport,OurAirports,
11805,Lusaka City Airport,Lusaka,Zambia,,FLLC,-15.41380024,28.33069992,4200,,,,airport,OurAirports,
11806,Sumbe Airport,Sumbe,Angola,NDD,FNSU,-11.16790009,13.84749985,36,,,,airport,OurAirports,
11807,Mangochi Airport,Mangochi,Malawi,MAI,FWMG,-14.4829998,35.26699829,1580,,,,airport,OurAirports,
11808,Arandis Airport,Arandis,Namibia,ADI,FYAR,-22.46220016,14.97999954,1905,,,,airport,OurAirports,
11809,Mariental Airport,Mariental,Namibia,,FYML,-24.60540009,17.92539978,3650,,,,airport,OurAirports,
11810,Almaza Air Force Base,Cairo,Egypt,,HEAZ,30.09180069,31.36000061,300,,,,airport,OurAirports,
11811,Beni Suef Air Base,Beni Suef,Egypt,,HEBS,29.20829964,31.01659966,108,,,,airport,OurAirports,
11812,Jiyanklis Air Base,Jiyanklis,Egypt,,HEGS,30.81979942,30.19120026,49,,,,airport,OurAirports,
11813,Merowe New Airport,Merowe,Sudan,MWE,HSMN,18.44333333,31.84333333,897,,,,airport,OurAirports,
11814,St Louis Regional Airport,Alton/St Louis,United States,ALN,KALN,38.89030075,-90.04599762,544,,,,airport,OurAirports,
11815,Chandler Field,Alexandria,United States,AXN,KAXN,45.86629868,-95.3946991,1425,,,,airport,OurAirports,
11816,Columbus Municipal Airport,Columbus,United States,CLU,KBAK,39.26190186,-85.89630127,656,,,,airport,OurAirports,
11817,Curtis Field,Brady,United States,BBD,KBBD,31.17930031,-99.32389832,1827,,,,airport,OurAirports,
11818,Eastern Sierra Regional Airport,Bishop,United States,BIH,KBIH,37.37310028,-118.3639984,4124,,,,airport,OurAirports,
11819,Baker City Municipal Airport,Baker City,United States,BKE,KBKE,44.83729935,-117.8089981,3373,,,,airport,OurAirports,
11820,Miley Memorial Field,Big Piney,United States,BPI,KBPI,42.58509827,-110.1110001,6990,,,,airport,OurAirports,
11821,Ozark Regional Airport,Mountain Home,United States,WMH,KBPK,36.3689003,-92.47049713,928,,,,airport,OurAirports,
11822,W K Kellogg Airport,Battle Creek,United States,BTL,KBTL,42.30730057,-85.25150299,952,,,,airport,OurAirports,
