source_country,destination_country,source_airport,source_lat,source_lon,destination_lat,destination_lon,destination_airport,num_direct_flights,num_connecting_flights
United States,United States,Chicago O'Hare International Airport,41.9786,-87.9048,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,20,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,41.9786,-87.9048,Chicago O'Hare International Airport,19,0
Thailand,Thailand,Phuket International Airport,8.1132,98.316902,13.68109989,100.7470016,Suvarnabhumi Airport,13,0
United States,United States,Chicago O'Hare International Airport,41.9786,-87.9048,29.99340057,-90.25800323,Louis Armstrong New Orleans International Airport,13,0
United States,United Kingdom,John F Kennedy International Airport,40.63980103,-73.77890015,51.4706,-0.461941,London Heathrow Airport,12,0
United Kingdom,United States,London Heathrow Airport,51.4706,-0.461941,40.63980103,-73.77890015,John F Kennedy International Airport,12,0
China,China,Guangzhou Baiyun International Airport,23.39240074,113.2990036,30.22949982,120.4339981,Hangzhou Xiaoshan International Airport,12,0
Thailand,Hong Kong,Suvarnabhumi Airport,13.68109989,100.7470016,22.308901,113.915001,Hong Kong International Airport,12,0
Hong Kong,Thailand,Hong Kong International Airport,22.308901,113.915001,13.68109989,100.7470016,Suvarnabhumi Airport,12,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,25.79319954,-80.29060364,Miami International Airport,12,0
United States,United States,Miami International Airport,25.79319954,-80.29060364,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,12,0
Qatar,Bahrain,Hamad International Airport,25.273056,51.608056,26.27079964,50.63359833,Bahrain International Airport,12,0
United Arab Emirates,Oman,Abu Dhabi International Airport,24.43300056,54.65110016,23.59329987,58.28440094,Muscat International Airport,12,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,32.896801,-97.038002,Dallas Fort Worth International Airport,11,0
France,United States,Charles de Gaulle International Airport,49.012798,2.55,40.63980103,-73.77890015,John F Kennedy International Airport,11,0
United States,France,John F Kennedy International Airport,40.63980103,-73.77890015,49.012798,2.55,Charles de Gaulle International Airport,11,0
United States,United Kingdom,Los Angeles International Airport,33.94250107,-118.4079971,51.4706,-0.461941,London Heathrow Airport,11,0
United Kingdom,United States,London Heathrow Airport,51.4706,-0.461941,33.94250107,-118.4079971,Los Angeles International Airport,11,0
United States,United States,John F Kennedy International Airport,40.63980103,-73.77890015,29.99340057,-90.25800323,Louis Armstrong New Orleans International Airport,11,0
United States,United States,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,40.63980103,-73.77890015,John F Kennedy International Airport,11,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,39.86169815,-104.6729965,Denver International Airport,11,0
United States,United States,Denver International Airport,39.86169815,-104.6729965,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,11,0
United States,United States,San Francisco International Airport,37.61899948,-122.375,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,11,0
Zimbabwe,Zambia,Robert Gabriel Mugabe International Airport,-17.931801,31.0928,-15.33080006,28.45260048,Kenneth Kaunda International Airport Lusaka,11,0
Australia,New Zealand,Sydney Kingsford Smith International Airport,-33.94609833,151.177002,-37.0080986,174.7920074,Auckland International Airport,11,0
Thailand,Thailand,Chiang Mai International Airport,18.76679993,98.96260071,13.68109989,100.7470016,Suvarnabhumi Airport,11,0
Rwanda,Uganda,Kigali International Airport,-1.96863,30.1395,0.042386,32.443501,Entebbe International Airport,11,0
Oman,United Arab Emirates,Muscat International Airport,23.59329987,58.28440094,24.43300056,54.65110016,Abu Dhabi International Airport,11,0
United States,United States,Dallas Fort Worth International Airport,32.896801,-97.038002,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,10,0
Hong Kong,South Korea,Hong Kong International Airport,22.308901,113.915001,37.46910095,126.4509964,Incheon International Airport,10,0
South Korea,Hong Kong,Incheon International Airport,37.46910095,126.4509964,22.308901,113.915001,Hong Kong International Airport,10,0
United Kingdom,United States,London Heathrow Airport,51.4706,-0.461941,37.61899948,-122.375,San Francisco International Airport,10,0
United States,United Kingdom,San Francisco International Airport,37.61899948,-122.375,51.4706,-0.461941,London Heathrow Airport,10,0
Japan,Taiwan,Narita International Airport,35.76470184,140.3860016,25.0777,121.233002,Taiwan Taoyuan International Airport,10,0
Taiwan,Japan,Taiwan Taoyuan International Airport,25.0777,121.233002,35.76470184,140.3860016,Narita International Airport,10,0
China,China,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,23.39240074,113.2990036,Guangzhou Baiyun International Airport,10,0
Thailand,Singapore,Suvarnabhumi Airport,13.68109989,100.7470016,1.35019,103.994003,Singapore Changi Airport,10,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,40.63980103,-73.77890015,John F Kennedy International Airport,10,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,33.94250107,-118.4079971,Los Angeles International Airport,10,0
United States,Italy,John F Kennedy International Airport,40.63980103,-73.77890015,45.6306,8.72811,Malpensa International Airport,10,0
Italy,United States,Malpensa International Airport,45.6306,8.72811,40.63980103,-73.77890015,John F Kennedy International Airport,10,0
New Zealand,Australia,Auckland International Airport,-37.0080986,174.7920074,-33.94609833,151.177002,Sydney Kingsford Smith International Airport,10,0
Sri Lanka,Maldives,Bandaranaike International Colombo Airport,7.180759907,79.88410187,4.191830158,73.52909851,Malé International Airport,10,0
