airport_id,airport_name,airport_country,num_outbound_flights,num_inbound_flights,num_connecting_flights
3682,Hartsfield Jackson Atlanta International Airport,United States,915,911,0
3830,Chicago O'Hare International Airport,United States,558,550,0
3364,Beijing Capital International Airport,China,535,534,0
507,London Heathrow Airport,United Kingdom,527,524,0
1382,Charles de Gaulle International Airport,France,524,517,0
340,Frankfurt am Main Airport,Germany,497,493,0
3484,Los Angeles International Airport,United States,492,498,0
3670,Dallas Fort Worth International Airport,United States,469,467,0
3797,John F Kennedy International Airport,United States,456,455,0
580,Amsterdam Airport Schiphol,Netherlands,453,450,0
3406,Shanghai Pudong International Airport,China,411,414,0
3316,Singapore Changi Airport,Singapore,408,412,0
1218,Barcelona International Airport,Spain,391,392,0
3930,Incheon International Airport,South Korea,370,370,0
3576,Miami International Airport,United States,368,366,0
346,Munich Airport,Germany,368,360,0
3751,Denver International Airport,United States,361,374,0
1701,Atatürk International Airport,Turkey,358,361,0
2188,Dubai International Airport,United Arab Emirates,356,354,0
502,London Gatwick Airport,United Kingdom,356,352,0
3077,Hong Kong International Airport,Hong Kong,355,355,0
3370,Guangzhou Baiyun International Airport,China,338,336,0
1555,Leonardo da Vinci–Fiumicino Airport,Italy,331,331,0
1229,Adolfo Suárez Madrid–Barajas Airport,Spain,330,331,0
3885,Suvarnabhumi Airport,Thailand,326,330,0
4029,Domodedovo International Airport,Russia,324,325,0
3395,Chengdu Shuangliu International Airport,China,324,323,0
193,Lester B. Pearson International Airport,Canada,319,317,0
302,Brussels Airport,Belgium,316,315,1
478,Manchester Airport,United Kingdom,316,311,0
1613,Vienna International Airport,Austria,308,308,0
3876,Charlotte Douglas International Airport,United States,301,299,0
3752,Philadelphia International Airport,United States,289,287,0
2279,Narita International Airport,Japan,286,289,0
345,Düsseldorf Airport,Germany,285,285,0
3379,Xi'an Xianyang International Airport,China,283,280,0
3382,Kunming Changshui International Airport,China,273,272,0
3998,Palma De Mallorca Airport,Spain,271,277,0
3393,Chongqing Jiangbei International Airport,China,270,270,0
3093,Indira Gandhi International Airport,India,264,263,0
2276,Taiwan Taoyuan International Airport,Taiwan,264,263,0
3304,Kuala Lumpur International Airport,Malaysia,257,257,0
3494,Newark Liberty International Airport,United States,253,252,0
3386,Hangzhou Xiaoshan International Airport,China,252,254,0
3462,Phoenix Sky Harbor International Airport,United States,251,257,0
3469,San Francisco International Airport,United States,249,250,0
1678,Zürich Airport,Switzerland,247,247,0
3877,McCarran International Airport,United States,246,252,0
3550,George Bush Intercontinental Houston Airport,United States,243,242,0
1824,Licenciado Benito Juarez International Airport,Mexico,243,242,0
