source_country,destination_country,source_airport,destination_airport,source_lat,source_lon,destination_lat,destination_lon,airline_name,airline_iata,num_direct_flights,num_connecting_flights,distance_km
Australia,United States,Sydney Kingsford Smith International Airport,Dallas Fort Worth International Airport,-33.94609833,151.177002,32.896801,-97.038002,Qantas,QF,1,0,13808.17825
Australia,United States,Sydney Kingsford Smith International Airport,Dallas Fort Worth International Airport,-33.94609833,151.177002,32.896801,-97.038002,American Airlines,AA,1,0,13808.17825
United States,South Africa,Hartsfield Jackson Atlanta International Airport,OR Tambo International Airport,33.6367,-84.428101,-26.1392,28.246,Delta Air Lines,DL,1,0,13582.58788
South Africa,United States,OR Tambo International Airport,Hartsfield Jackson Atlanta International Airport,-26.1392,28.246,33.6367,-84.428101,Delta Air Lines,DL,1,0,13582.58788
United Arab Emirates,United States,Dubai International Airport,Los Angeles International Airport,25.25279999,55.36439896,33.94250107,-118.4079971,JetBlue Airways,B6,1,0,13400.07703
United States,United Arab Emirates,Los Angeles International Airport,Dubai International Airport,33.94250107,-118.4079971,25.25279999,55.36439896,JetBlue Airways,B6,1,0,13400.07703
United Arab Emirates,United States,Dubai International Airport,Los Angeles International Airport,25.25279999,55.36439896,33.94250107,-118.4079971,Emirates,EK,1,0,13400.07703
United States,United Arab Emirates,Los Angeles International Airport,Dubai International Airport,33.94250107,-118.4079971,25.25279999,55.36439896,Emirates,EK,1,0,13400.07703
Saudi Arabia,United States,King Abdulaziz International Airport,Los Angeles International Airport,21.6796,39.156502,33.94250107,-118.4079971,Saudi Arabian Airlines,SV,1,0,13389.82006
United States,Saudi Arabia,Los Angeles International Airport,King Abdulaziz International Airport,33.94250107,-118.4079971,21.6796,39.156502,Saudi Arabian Airlines,SV,1,0,13389.82006
United States,Australia,Dallas Fort Worth International Airport,Brisbane International Airport,32.896801,-97.038002,-27.38419914,153.1170044,Qantas,QF,1,0,13364.85465
United States,Australia,Dallas Fort Worth International Airport,Brisbane International Airport,32.896801,-97.038002,-27.38419914,153.1170044,American Airlines,AA,1,0,13364.85465
United Arab Emirates,United States,Dubai International Airport,George Bush Intercontinental Houston Airport,25.25279999,55.36439896,29.9843998,-95.34140015,JetBlue Airways,B6,1,0,13124.81455
United States,United Arab Emirates,George Bush Intercontinental Houston Airport,Dubai International Airport,29.9843998,-95.34140015,25.25279999,55.36439896,JetBlue Airways,B6,1,0,13124.81455
United Arab Emirates,United States,Dubai International Airport,George Bush Intercontinental Houston Airport,25.25279999,55.36439896,29.9843998,-95.34140015,Emirates,EK,1,0,13124.81455
United States,United Arab Emirates,George Bush Intercontinental Houston Airport,Dubai International Airport,29.9843998,-95.34140015,25.25279999,55.36439896,Emirates,EK,1,0,13124.81455
