destination,destination_lat,destination_lon,source,source_lat,source_lon,num_routes
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Chicago O'Hare International Airport,41.9786,-87.9048,20
Chicago O'Hare International Airport,41.9786,-87.9048,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,19
Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,Chicago O'Hare International Airport,41.9786,-87.9048,13
Suvarnabhumi Airport,13.68109989,100.7470016,Phuket International Airport,8.1132,98.316902,13
John F Kennedy International Airport,40.63980103,-73.77890015,London Heathrow Airport,51.4706,-0.461941,12
Bahrain International Airport,26.27079964,50.63359833,Hamad International Airport,25.273056,51.608056,12
Muscat International Airport,23.59329987,58.28440094,Abu Dhabi International Airport,24.43300056,54.65110016,12
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Miami International Airport,25.79319954,-80.29060364,12
Miami International Airport,25.79319954,-80.29060364,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,12
London Heathrow Airport,51.4706,-0.461941,John F Kennedy International Airport,40.63980103,-73.77890015,12
Hong Kong International Airport,22.308901,113.915001,Suvarnabhumi Airport,13.68109989,100.7470016,12
Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,Guangzhou Baiyun International Airport,23.39240074,113.2990036,12
Suvarnabhumi Airport,13.68109989,100.7470016,Hong Kong International Airport,22.308901,113.915001,12
Los Angeles International Airport,33.94250107,-118.4079971,London Heathrow Airport,51.4706,-0.461941,11
Kenneth Kaunda International Airport Lusaka,-15.33080006,28.45260048,Robert Gabriel Mugabe International Airport,-17.931801,31.0928,11
Entebbe International Airport,0.042386,32.443501,Kigali International Airport,-1.96863,30.1395,11
Abu Dhabi International Airport,24.43300056,54.65110016,Muscat International Airport,23.59329987,58.28440094,11
Dallas Fort Worth International Airport,32.896801,-97.038002,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,11
Denver International Airport,39.86169815,-104.6729965,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,11
Charles de Gaulle International Airport,49.012798,2.55,John F Kennedy International Airport,40.63980103,-73.77890015,11
Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,John F Kennedy International Airport,40.63980103,-73.77890015,11
